,rep,s,p,m,MaxDev,epsilon
0,9.0,10.0,18.0,33.0,0.05849779456555972,0.05
0,9.0,10.0,19.0,32.0,0.05652462490111675,0.05
0,9.0,10.0,20.0,33.0,0.05581966944219374,0.05
0,9.0,10.0,21.0,33.0,0.05400604349965225,0.05
0,9.0,10.0,22.0,33.0,0.053179706315542995,0.05
0,9.0,10.0,23.0,32.0,0.053090863299366166,0.05
0,9.0,10.0,24.0,31.0,0.053262351286106846,0.05
0,9.0,10.0,25.0,30.0,0.052500569812098365,0.05
0,9.0,10.0,26.0,30.0,0.05125743141410749,0.05
0,9.0,10.0,27.0,32.0,0.053658257826170105,0.05
0,9.0,10.0,28.0,31.0,0.051392334968048486,0.05
0,9.0,10.0,29.0,30.0,0.05110985491261415,0.05
0,4.0,10.0,2.0,62.0,0.22369294582314916,0.05
0,9.0,10.0,3.0,52.0,0.14279001584205067,0.05
0,9.0,10.0,4.0,57.0,0.12895230372895108,0.05
0,9.0,10.0,5.0,46.0,0.12991107305854327,0.05
0,9.0,10.0,6.0,42.0,0.12147639232893433,0.05
0,9.0,10.0,7.0,42.0,0.10912919747044973,0.05
0,9.0,10.0,8.0,40.0,0.0985251845325956,0.05
0,9.0,10.0,9.0,40.0,0.08695082558649554,0.05
0,9.0,10.0,10.0,39.0,0.07803800514909497,0.05
0,9.0,10.0,11.0,35.0,0.07906953193378119,0.05
0,9.0,10.0,12.0,35.0,0.080874992350879,0.05
0,9.0,10.0,13.0,36.0,0.07682861247584609,0.05
0,9.0,10.0,14.0,34.0,0.07311533885793352,0.05
0,9.0,10.0,15.0,32.0,0.07047765288721847,0.05
0,9.0,10.0,16.0,31.0,0.06755777525950588,0.05
0,9.0,10.0,17.0,33.0,0.06870594888194717,0.05
0,9.0,10.0,18.0,33.0,0.06347335596032523,0.05
0,9.0,10.0,19.0,31.0,0.06265961145591495,0.05
0,9.0,10.0,20.0,32.0,0.06300441835810436,0.05
0,9.0,10.0,21.0,31.0,0.061413196782132036,0.05
0,9.0,10.0,22.0,30.0,0.059361208774073256,0.05
0,9.0,10.0,23.0,29.0,0.05908432078916371,0.05
0,9.0,10.0,24.0,29.0,0.06054060804279103,0.05
