,s,MaxDev,Procrustes
0,5.0,0.019908530588525816,0.12581466374334707
0,6.0,0.017678928434826317,0.11063496889986364
0,7.0,0.01921862168478209,0.09679296475862435
0,8.0,0.015791461794949634,0.07140115484950074
0,9.0,0.013677450759555228,0.059794971583812834
0,10.0,0.012647060421558474,0.05750237525756291
0,11.0,0.01253720688273315,0.048707435921749545
0,12.0,0.012366268956531678,0.04197916774055444
0,13.0,0.010585412430812081,0.04459783584602105
0,14.0,0.011344533894988549,0.05562164369182227
0,15.0,0.011519355691362955,0.04298372520714992
0,16.0,0.012116301861080226,0.05439198839706034
0,17.0,0.014394483610631942,0.059691097906295676
0,18.0,0.013837355764764768,0.05512697173626249
0,19.0,0.015200500535759871,0.057390793904432635
0,20.0,0.014995582283919257,0.06956552523817923
0,21.0,0.013466202853482429,0.059090689643386034
0,22.0,0.01330601011794141,0.06011704915479188
0,23.0,0.012499523218401669,0.057725857973146034
0,24.0,0.01210630969220298,0.054132304172989074
0,25.0,0.010674150327026777,0.0422774255385737
0,1.0,0.05428285696476856,2.0505483680922816
0,2.0,0.03564211966040321,0.4722179335326197
0,3.0,0.02905267906114236,0.3456325831526492
0,4.0,0.022362462956510742,0.21160433036798076
0,5.0,0.020236284857763073,0.1705663739628458
0,6.0,0.018941212657326026,0.15110078231988275
0,7.0,0.018105051993678827,0.114501231565374
0,8.0,0.018763782633219272,0.10659217537689909
0,9.0,0.01830914955641991,0.09920528693574503
0,10.0,0.016080101380043354,0.07453196498664147
0,11.0,0.015911300062492573,0.06003863936620791
0,12.0,0.016342778805796824,0.07016995886958599
0,13.0,0.015937940479230212,0.0850066015453299
0,14.0,0.017676554035183242,0.10580161261712427
0,15.0,0.016150516738321907,0.09470796113370399
0,16.0,0.015685307328092563,0.08929576565181607
0,17.0,0.015397427401050915,0.0930491770164192
0,18.0,0.014960828413486338,0.09931401725922374
0,19.0,0.01542451383253443,0.09623268590359255
0,20.0,0.014156442492563615,0.07305323214094617
0,21.0,0.014136603588528838,0.05761863449554235
0,22.0,0.013018965056620127,0.05014950101165802
0,23.0,0.012885414303500112,0.052059694988900757
0,24.0,0.011833160468203485,0.048365782084131864
0,25.0,0.010674150327033036,0.04227742553870401
0,1.0,0.07582978510906016,1.2500527666887775
0,2.0,0.03801977364854682,0.4816284505988543
0,3.0,0.024114817680742685,0.2760249014535193
0,4.0,0.01998105341529056,0.16283248372355683
0,5.0,0.02154381242666459,0.19426993945388762
0,6.0,0.023289373197483133,0.21468982390218325
0,7.0,0.021650179014921195,0.19452181395961227
0,8.0,0.017859313080164536,0.11894741807542869
0,9.0,0.01704660323804975,0.10840056380619947
0,10.0,0.014317980609184636,0.07991674335393485
0,11.0,0.012272618482756166,0.05673094901612476
0,12.0,0.01030804784437951,0.04888509972442953
0,13.0,0.009774146645070089,0.047536627355471546
0,14.0,0.009403497950656838,0.0586033217305909
0,15.0,0.009278476659023427,0.04258424598787491
0,16.0,0.010630462074956578,0.04036444073755897
0,17.0,0.010160664198524762,0.03742262080792439
0,18.0,0.00940907492226862,0.03330604286476665
0,19.0,0.009585797240404247,0.02926384089224283
0,20.0,0.009105246043473543,0.030399294616422868
0,21.0,0.01014938430883831,0.04038753947713906
0,22.0,0.01045565406063738,0.04128339702057407
0,23.0,0.010791907512153635,0.04104003659862783
0,24.0,0.010816778634903693,0.04200233642834482
0,25.0,0.010674150327034585,0.04227742553873688
0,1.0,0.09103822199331228,1.2568552349773974
0,2.0,0.043180609839102053,0.6155145208635356
